NameMovie,EnNameMovie,Year,Rating,Runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter,Star,User_reviews,CriticReviews_Metascore
Jeepers Creepers: Reborn,,2022,Null,Null,,,118,Horror,"Forced to travel with her boyfriend, Laine, she begins to experience premonitions associated with the urban myth of The Creeper. Laine believes that something supernatural has been summoned - and that she is at the center of it all.",Timo Vuorensola,Null,Null,,
Salem's Lot,,2023,Null,Null,,,"1,165",Horror,A writer travels to a town where the people become vampires.,Gary Dauberman,Null,Null,,
The Reef: Stalked,,2022,Null,Null,4.6/10,315,712,Horror,"After her sister's murder, Nic, her younger sister and two friends seek solace through a Pacific island kayaking adventure. Hours into the trip the women are stalked by a shark and must band together, face their fears and save each other.",Andrew Traucki,Null,Null,,
Pahanhautoja,,2022,Null,Null,6.3/10,4.7K,"1,047",Horror,"A young gymnast who tries desperately to please her demanding mother, discovers a strange egg. She hides it and keeps it warm, but when it hatches, what emerges shocks them all.",Hanna Bergholm,Null,Null,64,89 74
The Summoned,,2022,Null,Null,4.2/10,304,"3,723",Horror,Two high profile couples are forced to examine the cost of success when they're invited to an exclusive self-help retreat with a sinister side.,Mark Meir,Null,Null,,
You Won't Be Alone,,2022,R,1h 48m,6.4/10,4.2K,"1,206",Drama,"In an isolated mountain village in 19th century Macedonia, a young girl is kidnapped and then transformed into a witch by an ancient spirit.",Goran Stolevski,Goran Stolevski,Alice Englert,75,79 79
Mồi Quỷ Dữ,Prey for the Devil,2022,PG-13,1h 33m,,,958,Horror,A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.,Daniel Stamm,Robert Zappia,Earl Richey Jones,,
Purple Hearts,,2022,Null,Null,,,876,Drama,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",Elizabeth Allen Rosenbaum,Null,Null,,
Metal Lords,,2022,R,1h 37m,6.7/10,25K,930,Comedy,Two friends try to form a heavy metal band with a cellist for a Battle of the Bands.,Peter Sollett,D.B. Weiss,Adrian Greensmith,221,60 59
Studio 666,,2022,R,1h 46m,5.7/10,6.7K,"1,579",Comedy,Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album.,BJ McDonnell,Dave Grohl,Rebecca Hughes,130,106 50
Press Play,,2022,PG-13,1h 25m,5.7/10,404,"2,369",Music,"A young woman has a chance to save the love of her life, when she discovers that the mix-tape they made together can transport her back in time.",Greg Björkman,James Bachelor,Lewis Pullman,,
Weird: The Al Yankovic Story,,2022,Null,Null,,,611,Biography,"Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle.",Eric Appel,Null,Null,,
I Wanna Dance with Somebody,,2022,Null,Null,,,"2,944",Biography,"The joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, the greatest female R&B pop vocalist of all time. Tracking her journey from obscurity to musical superstardom.",Kasi Lemmons,Null,Null,,
Peter Pan & Wendy,,2022,Null,Null,,,"1,582",Action,Live-action adaptation of J.M. Barrie's classic tale of a boy who wouldn't grow up and recruits three young siblings in London to join him on a magical adventure to the enchanted Neverland island.,David Lowery,Null,Null,,
13: The Musical,,2022,PG,1h 31m,,,,Comedy,"After his parents' divorce, Evan Goldman moves from NYC to small-town Indiana. As his 13th birthday nears, he must master the complex social circles of his new school and win friends by turning his Bar Mitzvah into the coolest party ever.",Tamra Davis,Jason Robert Brown,Robert Horn,,
Spirited,,2022,Null,Null,,,"1,831",Comedy,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Sean Anders,Null,Null,,
Hollywood Stargirl,,2022,PG,1h 45m,5.6/10,831,"4,787",Comedy,"Stargirl Caraway as she journeys out of Mica into a bigger world of music, dreams and possibility.",Julia Hart,Julia Hart,Jerry Spinelli,20,19 66
All the Old Knives,,2022,R,1h 41m,6.1/10,19K,478,Mystery,"CIA agent Henry is tasked by his supervisor Vick to close an eight year old hijacking case that ended in tragedy. Vick has recently learned that there is a suspected mole who helped give the perpetrators information to impede the rescue attempt of the passengers. Being cleared by Vick, Henry is sent to interview his former colleague and lover, Celia, a possible suspec... Read all",Janus Metz,Olen Steinhauer,Kasia Madera,259,97 62
Gone in the Night,,2022,R,1h 30m,6.0/10,184,422,Mystery,"When Kath and her boyfriend arrive at a remote cabin in the redwoods, they find a mysterious younger couple already there. Her boyfriend disappears with the young woman, and Kath becomes obsessed with finding an explanation.",Eli Horowitz,Matthew Derby,Winona Ryder,7,39 52
The Weekend Away,,2022,TV-14,1h 29m,5.6/10,23K,963,Crime,"A weekend getaway to Croatia that goes awry when a woman is accused of killing her best friend. As she attempts to clear her name and uncover the truth, her efforts unearth a painful secret.",Kim Farrant,Sarah Alderson,Christina Wolfe,280,57 51
Enola Holmes 2,,2022,Null,Null,,,833,Action,"Enola Holmes takes on her first case as a detective, but to unravel the mystery of a missing girl, she'll need help from friends and brother Sherlock.",Harry Bradbeer,Null,Null,,
No Exit,,2022,R,1h 35m,6.1/10,21K,863,Drama,"During a blizzard and stranded at an isolated highway rest stop in the mountains, a college student discovers a kidnapped child hidden in a car belonging to one of the people inside.",Damien Power,Andrew Barrer,Taylor Adams,276,100 54
Operation Romeo,,2022,Null,Null,6.2/10,782,"3,112",Drama,The film features the fears and stresses that youthful couples all over the nation experience because of the danger presented by moral policing.,Shashant Shah,Null,Null,,
Blackbird,,2022,R,1h 30m,5.8/10,42,555,Action,"Troubled secret agent ""Blackbird"" abruptly retires from service and opens a luxurious nightclub in the Caribbean to escape the dark shadows of his past. An old flame arrives and reignites love in his life but she brings danger with her.",Michael Flatley,Michael Flatley,Eric Roberts,,
Redeeming Love,,2022,PG-13,2h 14m,6.6/10,6K,342,Drama,"Sold into prostitution as a child, Angel knows nothing but betrayal. Can her heart ever be mended? Based upon the novel by Francine Rivers.",D.J. Caruso,Francine Rivers,Abigail Cowen,160,26 32
After Ever Happy,,2022,Null,Null,7.8/10,101,249,Drama,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",Castille Landon,Null,Null,,
365 Ngày: Hôm Nay,365 Days: This Day,2022,TV-MA,1h 51m,2.5/10,17K,513,Drama,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.,Barbara Bialowas,Tomasz Mandes,Blanka Lipinska,,
Asteroid City,,2022,Null,Null,,,181,Comedy,"An astronomy convention takes place at a desert town in the 1950s, where several students and their parents meet and their knowledge, experiences and lives overlap in unexpected ways.",Wes Anderson,Null,Null,,
A Perfect Pairing,,2022,TV-14,1h 41m,6.1/10,9.7K,753,Comedy,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.,Stuart McDonald,Elizabeth Hackett,Victoria Justice,72,26 55
Tấm Vé Đến Thiên Đường,Ticket to Paradise,2022,Null,Null,,,"1,130",Comedy,A divorced couple that teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,Ol Parker,Null,Null,,
Hurdang,,2022,Null,Null,5.0/10,745,"2,254",Drama,"Back in 1990s, an aspiring IAS starts a rebellion against the caste-based reservation.",Nikhil Bhat,Null,Null,,
The Valet,,2022,PG-13,2h 4m,6.7/10,11K,983,Comedy,A movie star enlists a parking valet at a Beverly Hills restaurant to pose as her lover to cover for her relationship with a married man.,Richard Wong,Bob Fisher,Francis Veber,157,38 62
Dual,,2022,R,1h 34m,5.8/10,6K,376,Sci-Fi,"A woman opts for a cloning procedure after she receives a terminal diagnosis but when she recovers her attempts to have her clone decommissioned fail, leading to a court-mandated duel to the death.",Riley Stearns,Riley Stearns,Aaron Paul,131,111 62
Vlihi,,2022,Null,Null,8.0/10,103,,Short,"Silent short film, set on the Greek Cycladic island of Tenos. A woman in black is mourning inside a simple house. Reality blends with dreamy imagination, and tradition with insidious desires.",Yorgos Lanthimos,Null,Null,,
Beyond Infinity: Buzz and the Journey to Lightyear,,2022,TV-G,35m,6.2/10,503,,Documentary,A documentary about the fictional character Buzz Lightyear and the making of the film Lightyear - Cảnh Sát Vũ Trụ (2022).,Tony Kaplan,Chris Evans,Pete Docter,,
Aspirational Slut,,2022,Null,Null,5.2/10,211,,Short,"We meet Rosemary lying on the floor of her house, sobbing. Heartbroken. The doorbell rings. It's a Pizza Delivery Guy. Rosemary can't stop crying. She wants love, but it never works out. Fortunately for Rosemary, this Pizza Delivery Guy has the answer: forget about love and focus on wild random sex for once in her life. We cut to a fun slut-training montage where Pizz... Read all",Caroline Lindy,Null,Null,,
Avengers: Quantum Encounter,,2022,Null,Null,7.0/10,17,,Short,"While Ant-Man and The Wasp demo their Quantum Core, an unexpected villain shows up, eager to get their hands on the powerful tech. The heroes need all the help they can get to save the day.",Danny Handke,Null,Null,,
Creed III,,2022,Null,Null,,,656,Drama,Third installment of the 'Creed' franchise.,Michael B. Jordan,Null,Null,,
Home Team,,2022,PG,1h 35m,6.0/10,18K,"1,171",Comedy,"The story about New Orleans Saints head coach Sean Payton coaching his son's 6th grade football team, when Payton was suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal.",Charles Kinnane,Daniel Kinnane,Keith Blum,148,40 23
Next Goal Wins,,2023,PG-13,1h 37m,,,,Comedy,"Adaptation of the 2014 British documentary. The story of the American Samoa soccer team, who suffered the worst loss in World Cup history, losing to Australia 31-0 in 2001.",Taika Waititi,Taika Waititi,Michael Fassbender,,
Shabaash Mithu,,2022,Null,Null,6.7/10,3.1K,"1,805",Biography,"A biopic based on the life and struggles of Mithali Raj, Indian Cricketer, and captain of the Indian National Cricket team.",Srijit Mukherji,Null,Null,,
Jersey,,2022,Null,Null,7.3/10,11K,"3,629",Drama,A cricketer who quits cricket decides to revive his career at the age of 36 for his sons dream and prove his ability.,Gowtam Tinnanuri,Null,Null,,
Bong Bóng,Bubble,2022,C13,1h 40m,6.3/10,4.6K,"4,033",Animation,"After bubbles that broke the laws of gravity rained down upon the world. Cut off from the outside world, Tokyo has become a playground for a group of young people who have lost their families.",Tetsurô Araki,Gen Urobuchi,Naoko Satou,77,37 56
Tăng Tốc.. Về Phía Em,Fast & Feel Love,2022,P,2h 12m,7.0/10,578,"3,160",Action,"When a world champion of sport stacking is dumped by his long-time girlfriend, he has to learn basic adulting skills in order to live alone and take care of himself.",Nawapol Thamrongrattanarit,Nawapol Thamrongrattanarit,Urassaya Sperbund,,
Fall,,2022,PG-13,1h 47m,,,228,Thriller,"Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower.",Scott Mann,Jonathan Frank,Grace Caroline Currey,,
Hot Seat,,2022,R,1h 39m,4.6/10,1.5K,946,Thriller,"An ex-hacker is forced to break into high-level banking institutions, another man must try to penetrate the booby trapped building to get the young man off the hot seat.",James Cullen Bressack,Leon Langford,Mel Gibson,,
Em Yêu Đừng Sợ,Don't Worry Darling,2022,Null,Null,,,30,Thriller,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company may be hiding disturbing secrets.,Olivia Wilde,Null,Null,,
Runway 34,,2022,Null,Null,7.1/10,23K,541,Drama,"Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination.",Ajay Devgn,Null,Null,,
The Hunger Games: The Ballad of Songbirds and Snakes,,2023,Null,Null,,,233,Action,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,Francis Lawrence,Null,Null,,
Svart krabba,,2022,TV-MA,1h 54m,5.6/10,19K,"1,917",Action,"In a post-apocalyptic world, six soldiers on a covert mission must transport a mysterious package across a frozen archipelago. Noomi Rapace stars.",Adam Berg,Adam Berg,Jerker Virdborg,281,56 54
White Bird: A Wonder Story,,2022,Null,Null,,,"3,936",Biography,"Based on the book by the best-selling author of Wonder, this uplifting movie shows how one act of kindness can live on forever",Marc Forster,Null,Null,,
Devotion,,2022,Null,Null,,,"3,242",Action,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.,J.D. Dillard,Null,Null,,
Wolf Hound,,2022,R,2h 10m,3.8/10,719,"4,684",Action,"Inspired by the real-life German special operations unit KG 200 that shot down, repaired, and flew Allied aircraft as Trojan horses, ""Wolf Hound"" takes place in 1944 German-occupied France and follows the daring exploits of Jewish-American fighter pilot Captain David Holden. Ambushed behind enemy lines, Holden must rescue a captured B-17 Flying Fortress crew, evade a ... Read all",Michael B. Chait,Michael B. Chait,James Maslow,,
Sniper. The White Raven,,2022,R,2h,7.8/10,75,"4,296",Drama,"After suffering a tragedy at the hand of invading soldiers in Donbas, an Ukrainian physics teacher seeks revenge. He sets his sights on an elite Russian sniper whose elimination could change the tide of the conflict.",Marian Bushan,Maryna Koshkina,Aldoshyn Pavlo,2,8 53
Murder at Yellowstone City,,2022,Null,Null,4.9/10,650,"2,154",Western,"A former slave arrives in Yellowstone City, Montana, a desolate former boomtown now on the decline, looking for a place to call home. On that same day, a local prospector discovers gold - and is murdered.",Richard Gray,Null,Null,34,17 45
Django/Zorro,,2022,Null,Null,,,"3,077",Adventure,"Several years after the events of Hành Trình Django (2012), Django meets Don Diego de la Vega, the famed Zorro, and agrees to become his bodyguard on a mission to free the local aboriginal population from slavery.",Jerrod Carmichael,Null,Null,,
Young Guns 3: Alias Billy the Kid,,2022,Null,Null,,,,Western,Plot kept under wraps. Third installment of the 'Young Guns' film franchise.,Emilio Estevez,Null,Null,,
Thar,,2022,TV-MA,1h 48m,6.0/10,4.8K,,Action,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,Raj Singh Chaudhary,Anthony Catino,Yogesh Ishwar,,
The Old Way,,2022,Null,Null,,,,Action,"An old gunslinger and his daughter must face the consequences of his past, when the son of a man he murdered years ago arrives to take his revenge.",Brett Donowho,Null,Null,,
Butcher's Crossing,,2023,Null,Null,,,,Drama,"A frontier epic about an Ivy League drop-out as he travels to the Colorado wilderness, where he joins a team of buffalo hunters on a journey that puts his life and sanity at risk. Based on the highly acclaimed novel by John Williams.",Gabe Polsky,Null,Null,,
