NameMovie,EnNameMovie,Year,Rating,Runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter,Star,User_reviews,CriticReviews_Metascore
Đại Uý Marvel 2,The Marvels,2023,Null,Null,,,135,Action,Sequel of the 2019 title 'Captain Marvel'.,Nia DaCosta,Null,Null,,
Day Shift: Vỏ Bọc Thợ Săn,Day Shift,2022,Null,Null,,,355,Action,"A hard-working, blue-collar dad who just wants to provide a good life for his quick-witted 8-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",J.J. Perry,Null,Null,,
Liên Minh Siêu Thú DC,DC League of Super-Pets,2022,P,1h 46m,,,43,Animation,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.",Jared Stern,Sam Levine,John Whittington,,
Avatar: Dòng Chảy Của Nước,Avatar: The Way of Water,2022,Null,Null,,,92,Action,"Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet.",James Cameron,Null,Null,,
Xe Cấp Cứu,Ambulance,2022,C18,2h 16m,6.1/10,55K,104,Action,Two robbers steal an ambulance after their heist goes awry.,Michael Bay,Chris Fedak,Lars Andreas Pedersen,961,195 55
Chiến Binh Báo Đen: Wakanda Bất Diệt,Black Panther: Wakanda Forever,2022,Null,Null,,,112,Action,A sequel that will continue to explore the world of Wakanda and all the characters introduced in the 2018 film.,Ryan Coogler,Null,Null,,
Nữ Vương Huyền Thoại,The Woman King,2022,Null,Null,,,296,Action,"A historical epic inspired by the true events that happened in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",Gina Prince-Bythewood,Null,Null,,
Black Adam,,2022,Null,Null,,,106,Action,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Jaume Collet-Serra,Null,Null,,
Nhím Sonic 2,Sonic the Hedgehog 2,2022,P,2h 2m,6.6/10,53K,126,Action,"When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.",Jeff Fowler,Pat Casey,John Whittington,545,150 47
Vàng,Gold,2022,R,1h 37m,5.4/10,7.8K,167,Action,"In the not too distant future, a drifter (Zac Efron) travelling through the desert discovers the largest gold nugget ever found. He must guard it from thieves amid harsh conditions and wild dogs while waiting for his partner to return.",Anthony Hayes,Anthony Hayes,Zac Efron,261,56 48
Untitled Indiana Jones Project,,2023,Null,Null,,,140,Action,The plot is unknown at this time.,James Mangold,Null,Null,,
Major,,2022,Null,Null,8.3/10,18K,274,Action,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",Sashi Kiran Tikka,Null,Null,,
Memory,,2022,R,1h 54m,5.6/10,13K,145,Action,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.,Martin Campbell,Dario Scardapane,Carl Joos,174,73 41
Biệt Đội Đánh Thuê 4,Expend4bles,2023,Null,Null,,,163,Action,The Expendables will square up against: an arms dealer who commands the might of a massive private army.,Scott Waugh,Null,Null,,
Samaritan,,2022,Null,Null,,,651,Action,A young boy learns that a superhero who was thought to have gone missing after an epic battle twenty years ago may in fact still be around.,Julius Avery,Null,Null,,
Trăng Rơi,Moonfall,2022,C13,2h 10m,5.2/10,58K,170,Action,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,Roland Emmerich,Roland Emmerich,Spenser Cohen,1.4K,221 41
Interceptor,,2022,TV-MA,1h 39m,4.5/10,20K,174,Action,One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,Matthew Reilly,Matthew Reilly,Elsa Pataky,852,63 51
The Contractor,,2022,R,1h 43m,5.8/10,16K,175,Action,"A discharged U.S. Special Forces sergeant, James Harper, risks everything for his family when he joins a private contracting organization.",Tarik Saleh,J.P. Davis,Gillian Jacobs,237,77 52
Dự Án Adam,The Adam Project,2022,C13,1h 46m,6.7/10,183K,168,Action,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",Shawn Levy,Jonathan Tropper,Jennifer Flackett,1.1K,206 55
